regiao,variavel,melhor_lag,r,p
Centro-Oeste,precipitacao,4,0.134,0.0042
Centro-Oeste,temp_media,4,0.122,0.0092
Centro-Oeste,umidade,3,0.232,0.0
Centro-Oeste,idhm,0,-0.631,0.0
Centro-Oeste,cobertura_sanea,0,-0.244,0.0
Centro-Oeste,dens_demo,0,-0.699,0.0
Nordeste,precipitacao,4,0.198,0.0
Nordeste,temp_media,3,0.104,0.0317
Nordeste,umidade,2,0.152,0.0015
Nordeste,idhm,0,-0.692,0.0
Nordeste,cobertura_sanea,0,-0.655,0.0
Nordeste,dens_demo,0,-0.651,0.0
Norte,precipitacao,2,0.129,0.0076
Norte,temp_media,2,-0.096,0.0473
Norte,umidade,2,0.187,0.0001
Norte,idhm,0,-0.395,0.0
Norte,cobertura_sanea,0,0.09,0.0286
Norte,dens_demo,0,-0.441,0.0
Sudeste,precipitacao,4,0.062,0.1987
Sudeste,temp_media,4,0.14,0.0033
Sudeste,umidade,3,0.161,0.0007
Sudeste,idhm,0,-0.637,0.0
Sudeste,cobertura_sanea,0,-0.458,0.0
Sudeste,dens_demo,0,-0.592,0.0
Sul,precipitacao,1,-0.05,0.286
Sul,temp_media,3,0.061,0.2011
Sul,umidade,2,0.08,0.0924
Sul,idhm,0,-0.423,0.0
Sul,cobertura_sanea,0,-0.457,0.0
Sul,dens_demo,0,-0.367,0.0
