cod_ibge_7,casos_total,populacao,idhm,regiao,municipio,tx_incidencia_100k
4111902,11084,15122.0,0.715,Sul,Jaguapitã,73297.18291231319
4120507,7333,11286.0,0.701,Sul,Primeiro de Maio,64974.30444798866
3555802,5892,9148.0,0.746,Sudeste,Urânia,64407.52076956712
4120333,2422,3806.0,0.71,Sul,Prado Ferreira,63636.36363636363
3547650,1036,1645.0,0.772,Sudeste,Santa Salete,62978.723404255325
4116000,1234,1966.0,0.748,Sul,Miraselva,62767.039674465916
3544707,1476,2474.0,0.73,Sudeste,Sagres,59660.468876313666
3534005,2701,4771.0,0.738,Sudeste,Onda Verde,56612.869419408926
3543204,2616,4677.0,0.747,Sudeste,Ribeirão do Sul,55933.290570878766
3529500,3400,6159.0,0.744,Sudeste,Mendonça,55203.76684526709
